id,company,title,url,applyUrl,source,sourceId,roleFamily,newgradStatus,locationText,workplace,remote,remoteScope,reviewLevel,experienceReferences,qualificationPaths,startWindow,startYears,skills,salary,sponsorship,sponsorshipNote,summary,newgradEvidence,aiEvidence,qualificationNote,publishedAt,deadline,verifiedAt,reviewNote
anthropic-greenhouse-5224564008,Anthropic,"Performance Engineer, Inference Systems",https://job-boards.greenhouse.io/anthropic/jobs/5224564008,https://job-boards.greenhouse.io/anthropic/jobs/5224564008,Greenhouse,5224564008,ML Infrastructure,unclear,"San Francisco, CA | New York City, NY | Seattle, WA",Not stated,False,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""Python"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""SQL"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""LLMs"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,"Engineering systems for machine-learning training, deployment or inference.","Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies ML Infrastructure work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
anthropic-greenhouse-4951814008,Anthropic,"Research Engineer / Research Scientist, Tokens",https://job-boards.greenhouse.io/anthropic/jobs/4951814008,https://job-boards.greenhouse.io/anthropic/jobs/4951814008,Greenhouse,4951814008,Research,unclear,"New York City, NY; New York City, NY | Seattle, WA; San Francisco, CA",Not stated,False,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""PyTorch"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Machine learning"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Kubernetes"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""reinforcement learning"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,Research and experimentation on machine-learning methods or model behavior.,"Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies Research work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
anthropic-greenhouse-4631822008,Anthropic,"Research Engineer / Scientist, Alignment",https://job-boards.greenhouse.io/anthropic/jobs/4631822008,https://job-boards.greenhouse.io/anthropic/jobs/4631822008,Greenhouse,4631822008,Research,unclear,"San Francisco, CA",Not stated,False,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""Python"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""LLMs"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""NLP"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Machine learning"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Kubernetes"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""reinforcement learning"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,Research and experimentation on machine-learning methods or model behavior.,"Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies Research work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
anthropic-greenhouse-5231612008,Anthropic,"Research Engineer, Chip Design RL (Reinforcement Learning)",https://job-boards.greenhouse.io/anthropic/jobs/5231612008,https://job-boards.greenhouse.io/anthropic/jobs/5231612008,Greenhouse,5231612008,Research,unclear,"San Francisco, CA | New York City, NY",Not stated,False,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""reinforcement learning"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,Research and experimentation on machine-learning methods or model behavior.,"Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies Research work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
anthropic-greenhouse-5254364008,Anthropic,"Research Engineer, Code RL (Reinforcement Learning)",https://job-boards.greenhouse.io/anthropic/jobs/5254364008,https://job-boards.greenhouse.io/anthropic/jobs/5254364008,Greenhouse,5254364008,Research,unclear,"San Francisco, CA | New York City, NY",Not stated,False,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""Python"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""PyTorch"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""LLMs"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""CUDA"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""reinforcement learning"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,Research and experimentation on machine-learning methods or model behavior.,"Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies Research work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
anthropic-greenhouse-5285246008,Anthropic,"Research Engineer, Computer Use",https://job-boards.greenhouse.io/anthropic/jobs/5285246008,https://job-boards.greenhouse.io/anthropic/jobs/5285246008,Greenhouse,5285246008,Research,unclear,"San Francisco, CA | New York City, NY | Seattle, WA",Not stated,False,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""Python"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Machine learning"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""reinforcement learning"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,Research and experimentation on machine-learning methods or model behavior.,"Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies Research work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
anthropic-greenhouse-5025624008,Anthropic,"Research Engineer, Cybersecurity RL (Reinforcement Learning)",https://job-boards.greenhouse.io/anthropic/jobs/5025624008,https://job-boards.greenhouse.io/anthropic/jobs/5025624008,Greenhouse,5025624008,Research,unclear,"San Francisco, CA | New York City, NY",Not stated,False,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""LLMs"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Machine learning"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""reinforcement learning"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,Research and experimentation on machine-learning methods or model behavior.,"Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies Research work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
anthropic-greenhouse-5271380008,Anthropic,"Research Engineer, Domain Scaling",https://job-boards.greenhouse.io/anthropic/jobs/5271380008,https://job-boards.greenhouse.io/anthropic/jobs/5271380008,Greenhouse,5271380008,Research,unclear,"San Francisco, CA | New York City, NY | Seattle, WA",Not stated,False,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""reinforcement learning"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,Research and experimentation on machine-learning methods or model behavior.,"Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies Research work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
anthropic-greenhouse-4017331008,Anthropic,"Research Engineer, Knowledge Team",https://job-boards.greenhouse.io/anthropic/jobs/4017331008,https://job-boards.greenhouse.io/anthropic/jobs/4017331008,Greenhouse,4017331008,Research,unclear,"Remote-Friendly (Travel-Required) | San Francisco, CA | Seattle, WA | New York City, NY",Remote,True,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""Python"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""LLMs"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Machine learning"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""RAG"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""reinforcement learning"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,Research and experimentation on machine-learning methods or model behavior.,"Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies Research work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
anthropic-greenhouse-4613568008,Anthropic,"Research Engineer, Machine Learning (Reinforcement Learning)",https://job-boards.greenhouse.io/anthropic/jobs/4613568008,https://job-boards.greenhouse.io/anthropic/jobs/4613568008,Greenhouse,4613568008,Research,unclear,"San Francisco, CA | New York City, NY",Not stated,False,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""Python"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""C++"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""PyTorch"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""TensorFlow"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""JAX"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""LLMs"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Machine learning"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Kubernetes"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""reinforcement learning"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,Research and experimentation on machine-learning methods or model behavior.,"Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies Research work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
